cliente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
GABRIEL SOARES,desinfetante,salada,alface,cenoura,,,,,,,,,,,,,,
SÁVIO DEMARQUE,batata,nhoque,batata frita,kiwi,,,,,,,,,,,,,,
SÁVIO CARDOSO,uva,pudim,sorvete,,,,,,,,,,,,,,,
PEDRO COSTA,castanhas,azeitona,palmito,carvão,cerveja,,,,,,,,,,,,,
ALYSON CARDOSO,achocolatado,whisky,biscoito,farinha de trigo,whisky,água tônica,,,,,,,,,,,,
JÚLIO LIMA,manga,linguiça,sabão,milho verde,batata,molho branco,,,,,,,,,,,,
SERGIO SILVA,castanhas,amendoim,queijo ralado,iogurte,molho de tomate,barra de cereal,,,,,,,,,,,,
PEDRO NETO,água de coco,cenoura,cerveja,picanha,carvão,salsicha,torrada,barra de cereal,batata frita,,,,,,,,,
FILIPE DEMARQUE,água tônica,água de coco,abacaxi,morango,,,,,,,,,,,,,,
OTÁVIO SANTOS,cogumelo,kiwi,carvão,picanha,vodka,detergente,whisky,suco,pimenta,nhoque,,,,,,,,
GABRIEL CARDOSO,lasanha,óleo de soja,arroz,salada,palmito,,,,,,,,,,,,,
FILIPE SANTOS,macarrão,queijo,,,,,,,,,,,,,,,,
FILIPE SILVA,desinfetante,vinho,presunto,pão,massa de pizza,cebola,,,,,,,,,,,,
MAYCON COSTA,atum enlatado,ervilha,milho verde,vinho tinto,,,,,,,,,,,,,,
GUSTAVO CRUZ,desinfetante,massa de pizza,torrada,café,,,,,,,,,,,,,,
ALYSON SANTOS,palmito,alface,catchup,bolo,torrada,gelatina,suco,presunto,,,,,,,,,,
SERGIO SILVA,espumante,papel higiênico,,,,,,,,,,,,,,,,
JOÃO SILVA,carvão,cerveja,,,,,,,,,,,,,,,,
JOÃO NÁPOLES,cerveja artesanal,farinha de mandioca,mel,verduras,tomate,,,,,,,,,,,,,
SERGIO RODRIGUES,suco de laranja,pão,,,,,,,,,,,,,,,,
VICTOR MASSI,detergente,água tônica,chá,espumante,vinho branco,,,,,,,,,,,,,
VANESSA NÁPOLES,peito de peru,vinho tinto,queijo,pão,azeite,geleia,verduras,,,,,,,,,,,
SÁVIO CARDOSO,queijo ralado,queijo,,,,,,,,,,,,,,,,
WEMERSON CARDOSO,nhoque,ervilha,cebola,manga,limão,ervilha,tempero pronto,cebola,,,,,,,,,,
OTÁVIO SANTOS,vodka,batata frita,água tônica,cereal,vinagre,amendoim,,,,,,,,,,,,
VANESSA BANDEIRA,cogumelo,peixe,cerveja artesanal,sardinha enlatada,verduras,,,,,,,,,,,,,
PEDRO DEMARQUE,suco,desinfetante,,,,,,,,,,,,,,,,
MAYCON SILVA,pão,manteiga,,,,,,,,,,,,,,,,
GUSTAVO BANDEIRA,patê,milho verde,,,,,,,,,,,,,,,,
SÁVIO LIMA,arroz,feijão,frango,,,,,,,,,,,,,,,
DANIEL LIMA,suco de laranja,pão,manteiga,bolo,nutella,,,,,,,,,,,,,
GABRIEL NÁPOLES,salada,cenoura,azeite,vinagre,salada,alface,tomate,pão,manteiga,,,,,,,,,
VANESSA CRUZ,salada,tomate,cenoura,azeite,vinagre,energético,,,,,,,,,,,,
DAVI OLIVEIRA,chocolate,leite,filé de frango,,,,,,,,,,,,,,,
VANESSA LIMA,frango,feijão,,,,,,,,,,,,,,,,
DANIEL DEMARQUE,uva,alface,cogumelo,sardinha enlatada,geleia,ervilha,castanhas,barra de cereal,água de coco,,,,,,,,,
SERGIO RODRIGUES,manteiga,barra de cereal,vinho,queijo,presunto,pão,,,,,,,,,,,,
ALYSON RODRIGUES,presunto,milho verde,cereal,pepino,pudim,atum enlatado,bolo,ervilha,,,,,,,,,,
PEDRO SILVA,sabão,espumante,,,,,,,,,,,,,,,,
MAYCON OLIVEIRA,chá,geleia,banana,molho pesto,café,,,,,,,,,,,,,
JOÃO DEMARQUE,cereal,peito de peru,,,,,,,,,,,,,,,,
DANIEL CARDOSO,bolo,água de coco,farinha de trigo,iogurte,,,,,,,,,,,,,,
DAVI SILVA,salada,alface,,,,,,,,,,,,,,,,
DAVI SOARES,espumante,arroz,feijão,frango,,,,,,,,,,,,,,
LUIZ CRUZ,geleia,bolo,feijão,atum enlatado,,,,,,,,,,,,,,
MAYCON BANDEIRA,iogurte,patê,,,,,,,,,,,,,,,,
VANESSA COSTA,cenoura,refrigerante,,,,,,,,,,,,,,,,
GUSTAVO CRUZ,iogurte,queijo ralado,batata frita,tomate,farinha de mandioca,carvão,,,,,,,,,,,,
MAYCON BANDEIRA,arroz,feijão,salada,farinha de trigo,patê,,,,,,,,,,,,,
WEMERSON OLIVEIRA,castanhas,açúcar,,,,,,,,,,,,,,,,
PEDRO SILVA,whisky,farinha de trigo,batata frita,,,,,,,,,,,,,,,
DAVI BANDEIRA,presunto,molho de tomate,tempero pronto,azeitona,cereal,granola,,,,,,,,,,,,
DAVI SILVA,morango,linguiça,patê,iogurte,tomate,torrada,molho pesto,água de coco,vinho branco,,,,,,,,,
WEMERSON DEMARQUE,milho verde,pepino,maionese,tomate,cenoura,detergente,morango,,,,,,,,,,,
WEMERSON RODRIGUES,uva,vinho tinto,queijo,presunto,,,,,,,,,,,,,,
DANIEL NÁPOLES,queijo ralado,maionese,barra de cereal,pimenta,sal,,,,,,,,,,,,,
JÚLIO SANTOS,vinho tinto,queijo,,,,,,,,,,,,,,,,
SERGIO MASSI,cereal,leite,laranja,energético,vinho tinto,queijo,,,,,,,,,,,,
JÚLIO SANTOS,mel,presunto,granola,papel higiênico,atum enlatado,cenoura,,,,,,,,,,,,
DANIEL BANDEIRA,refrigerante,banana,carne moída,tempero pronto,,,,,,,,,,,,,,
VANESSA SOARES,atum enlatado,cerveja,salsicha,,,,,,,,,,,,,,,
VANESSA SANTOS,biscoito,amendoim,queijo,farinha de mandioca,cerveja artesanal,,,,,,,,,,,,,
PEDRO SILVA,cenoura,mostarda,maionese,kiwi,verduras,barra de cereal,torrada,,,,,,,,,,,
WEMERSON CARDOSO,papel higiênico,hambúrguer,batata frita,cerveja,catchup,mostarda,,,,,,,,,,,,
PEDRO CARDOSO,carne moída,queijo,feijão,arroz,salada,hambúrguer,batata frita,cerveja,mostarda,verduras,,,,,,,,
GUSTAVO DEMARQUE,queijo ralado,pudim,cogumelo,nutella,,,,,,,,,,,,,,
FILIPE SANTOS,kiwi,granola,carvão,cerveja,salsicha,,,,,,,,,,,,,
LUIZ NETO,banana,batata,arroz,feijão,frango,azeite,nhoque,,,,,,,,,,,
JÚLIO DEMARQUE,pepino,mostarda,açúcar,presunto,,,,,,,,,,,,,,
JOÃO OLIVEIRA,queijo ralado,pizza,refrigerante,cerveja artesanal,molho de tomate,pimenta,papel higiênico,,,,,,,,,,,
SÁVIO LIMA,pudim,torrada,nhoque,biscoito,pizza,cerveja artesanal,,,,,,,,,,,,
SÁVIO NETO,laranja,vodka,cereal,whisky,laranja,verduras,pão,,,,,,,,,,,
LUIZ OLIVEIRA,vinho,queijo,,,,,,,,,,,,,,,,
GUSTAVO CRUZ,castanhas,linguiça,nhoque,laranja,nhoque,kiwi,salsicha,sabão,pizza,refrigerante,,,,,,,,
GABRIEL CRUZ,pimenta,pimenta,,,,,,,,,,,,,,,,
GABRIEL BANDEIRA,molho de tomate,pudim,cenoura,pão,,,,,,,,,,,,,,
SERGIO OLIVEIRA,refrigerante,picanha,carne moída,cenoura,suco,filé de frango,arroz,feijão,,,,,,,,,,
GABRIEL LIMA,linguiça,linguiça,,,,,,,,,,,,,,,,
MAYCON SILVA,sopa pronta,vinho,queijo,presunto,pão,milho verde,torrada,mostarda,geleia,,,,,,,,,
VICTOR LIMA,uva,salsicha,,,,,,,,,,,,,,,,
FILIPE CARDOSO,alface,abacaxi,,,,,,,,,,,,,,,,
OTÁVIO SILVA,mel,bisnaguinha,suco,peixe,verduras,suco,atum enlatado,biscoito,vinagre,,,,,,,,,
OTÁVIO MASSI,castanhas,açúcar,whisky,,,,,,,,,,,,,,,
SERGIO DEMARQUE,manga,tempero pronto,,,,,,,,,,,,,,,,
VANESSA SANTOS,peixe,cerveja artesanal,kiwi,maçã,café,açúcar,bolo,linguiça,carvão,,,,,,,,,
WEMERSON SILVA,picanha,energético,,,,,,,,,,,,,,,,
MAYCON SANTOS,azeitona,suco,granola,,,,,,,,,,,,,,,
ALYSON RODRIGUES,vinho,queijo,pão,cebola,azeite,,,,,,,,,,,,,
OTÁVIO NÁPOLES,batata,arroz,,,,,,,,,,,,,,,,
GUSTAVO SILVA,açúcar,peixe,castanhas,,,,,,,,,,,,,,,
DANIEL LIMA,leite,iogurte,leite,whisky,farinha de mandioca,pudim,pimenta,vinho,presunto,pão,,,,,,,,
GUSTAVO RODRIGUES,batata frita,molho de tomate,café,açúcar,bolo,leite,geleia,sal,salsicha,abacaxi,leite,,,,,,,
SERGIO DEMARQUE,amendoim,granola,água de coco,pimenta,torrada,molho branco,molho pesto,cogumelo,macarrão,,,,,,,,,
SÁVIO SANTOS,picanha,cereal,,,,,,,,,,,,,,,,
DAVI CRUZ,batata,massa de pizza,cereal,peixe,,,,,,,,,,,,,,
VICTOR OLIVEIRA,whisky,kiwi,vinho,queijo,presunto,,,,,,,,,,,,,
WEMERSON NETO,feijão,queijo,cenoura,cogumelo,leite,,,,,,,,,,,,,
GUSTAVO OLIVEIRA,biscoito,patê,pimenta,lasanha,pudim,,,,,,,,,,,,,
DANIEL SILVA,verduras,molho de tomate,leite,cogumelo,sardinha enlatada,,,,,,,,,,,,,
GABRIEL CRUZ,pepino,feijão,sopa pronta,carne moída,ervilha,,,,,,,,,,,,,
FILIPE CARDOSO,linguiça,sorvete,abacaxi,bisnaguinha,molho de tomate,café,leite,mel,,,,,,,,,,
LUIZ SILVA,tomate,azeitona,queijo,massa de pizza,papel higiênico,papel higiênico,batata,limão,salsicha,,,,,,,,,
LUIZ SOARES,batata frita,batata frita,feijão,molho de tomate,morango,cerveja artesanal,salsicha,pepino,iogurte,peito de peru,torrada,frutas,,,,,,
LUIZ OLIVEIRA,presunto,cebola,,,,,,,,,,,,,,,,
WEMERSON SANTOS,achocolatado,azeitona,farinha de mandioca,cerveja artesanal,vinagre,papel higiênico,alface,,,,,,,,,,,
DANIEL OLIVEIRA,massa de pizza,molho de tomate,,,,,,,,,,,,,,,,
DAVI LIMA,chá,carne moída,,,,,,,,,,,,,,,,
JÚLIO NÁPOLES,papel higiênico,cenoura,maionese,chá,molho de tomate,desinfetante,vodka,palmito,cereal,farinha de mandioca,,,,,,,,
SÁVIO DEMARQUE,feijão,suco,tomate,banana,,,,,,,,,,,,,,
MAYCON SANTOS,banana,nhoque,sal,,,,,,,,,,,,,,,
GABRIEL BANDEIRA,barra de cereal,whisky,linguiça,sorvete,,,,,,,,,,,,,,
VANESSA SOARES,vinho,presunto,pão,biscoito,desinfetante,lasanha,espumante,,,,,,,,,,,
JÚLIO LIMA,água tônica,barra de cereal,atum enlatado,açúcar,salada,alface,cenoura,,,,,,,,,,,
GABRIEL SANTOS,maionese,sal,,,,,,,,,,,,,,,,
LUIZ COSTA,sopa pronta,vinho,queijo,pudim,arroz,feijão,,,,,,,,,,,,
PEDRO CRUZ,feijão,manteiga,,,,,,,,,,,,,,,,
DAVI NÁPOLES,sal,nhoque,alface,,,,,,,,,,,,,,,
SÁVIO OLIVEIRA,vodka,barra de cereal,,,,,,,,,,,,,,,,
WEMERSON NETO,laranja,whisky,espumante,amendoim,tempero pronto,manga,pimenta,frutas,torrada,arroz,,,,,,,,
OTÁVIO NETO,castanhas,sardinha enlatada,nhoque,,,,,,,,,,,,,,,
ALYSON CRUZ,vinho branco,presunto,,,,,,,,,,,,,,,,
MAYCON SOARES,patê,queijo ralado,leite,água tônica,molho de tomate,,,,,,,,,,,,,
FILIPE MASSI,água tônica,lasanha,sorvete,castanhas,pepino,salada,tomate,,,,,,,,,,,
SÁVIO MASSI,cereal,alho,água tônica,cereal,bisnaguinha,sardinha enlatada,suco,sabão,mostarda,,,,,,,,,
OTÁVIO SILVA,queijo,abacaxi,peito de peru,pepino,,,,,,,,,,,,,,
JOÃO NÁPOLES,limão,vodka,arroz,,,,,,,,,,,,,,,
OTÁVIO RODRIGUES,frango,arroz,feijão,salada,torrada,nhoque,bolo,leite,,,,,,,,,,
VANESSA SILVA,feijão,iogurte,,,,,,,,,,,,,,,,
VICTOR COSTA,peixe,batata,biscoito,tempero pronto,refrigerante,bolo,molho branco,vinagre,,,,,,,,,,
FILIPE SOARES,tempero pronto,picanha,cenoura,sal,tomate,feijão,,,,,,,,,,,,
PEDRO COSTA,limão,verduras,molho branco,cerveja,picanha,carvão,,,,,,,,,,,,
GABRIEL NETO,banana,pão,manteiga,queijo,presunto,filé de frango,feijão,,,,,,,,,,,
SERGIO RODRIGUES,suco de laranja,pão,,,,,,,,,,,,,,,,
WEMERSON SOARES,chocolate,sorvete,leite,lasanha,água tônica,,,,,,,,,,,,,
DANIEL RODRIGUES,sardinha enlatada,iogurte,,,,,,,,,,,,,,,,
WEMERSON COSTA,manteiga,sardinha enlatada,feijão,frango,arroz,salada,molho pesto,molho pesto,,,,,,,,,,
ALYSON COSTA,queijo ralado,verduras,,,,,,,,,,,,,,,,
GABRIEL NÁPOLES,cebola,queijo ralado,pimenta,leite,carne moída,atum enlatado,vinho,queijo,pão,,,,,,,,,
GUSTAVO DEMARQUE,castanhas,hambúrguer,batata frita,catchup,mostarda,alho,,,,,,,,,,,,
MAYCON LIMA,barra de cereal,iogurte,,,,,,,,,,,,,,,,
DANIEL SOARES,água de coco,peito de peru,,,,,,,,,,,,,,,,
JÚLIO NÁPOLES,cogumelo,verduras,,,,,,,,,,,,,,,,
SERGIO LIMA,frutas,linguiça,óleo de soja,,,,,,,,,,,,,,,
VICTOR BANDEIRA,batata,nhoque,óleo de soja,amendoim,alface,espumante,,,,,,,,,,,,
SERGIO MASSI,castanhas,limão,,,,,,,,,,,,,,,,
FILIPE SOARES,água tônica,desinfetante,,,,,,,,,,,,,,,,
DANIEL SILVA,vodka,patê,papel higiênico,,,,,,,,,,,,,,,
FILIPE MASSI,refrigerante,atum enlatado,batata,água tônica,palmito,pudim,verduras,carne moída,queijo ralado,torrada,,,,,,,,
SERGIO OLIVEIRA,vinho tinto,presunto,pão,sorvete,,,,,,,,,,,,,,
VANESSA DEMARQUE,molho de tomate,uva,frango,feijão,,,,,,,,,,,,,,
PEDRO DEMARQUE,sopa pronta,torrada,,,,,,,,,,,,,,,,
FILIPE MASSI,nutella,tempero pronto,salsicha,frutas,,,,,,,,,,,,,,
ALYSON LIMA,cenoura,pudim,,,,,,,,,,,,,,,,
WEMERSON SANTOS,vinho tinto,queijo,presunto,pão,arroz,feijão,frango,,,,,,,,,,,
GABRIEL NÁPOLES,abacaxi,uva,gelatina,suco,biscoito,água tônica,sal,pizza,refrigerante,cerveja artesanal,manteiga,laranja,,,,,,
FILIPE CRUZ,pão,manteiga,queijo,presunto,geleia,sopa pronta,whisky,,,,,,,,,,,
SÁVIO NÁPOLES,papel higiênico,pizza,,,,,,,,,,,,,,,,
SERGIO SOARES,gelatina,torrada,chocolate,leite,kiwi,barra de cereal,espumante,,,,,,,,,,,
ALYSON COSTA,cereal,cebola,,,,,,,,,,,,,,,,
ALYSON RODRIGUES,pimenta,abacaxi,sabão,,,,,,,,,,,,,,,
GABRIEL NÁPOLES,biscoito,açúcar,sabão,café,bolo,,,,,,,,,,,,,
GABRIEL DEMARQUE,sal,geleia,detergente,água tônica,barra de cereal,ervilha,azeite,alho,carvão,,,,,,,,,
ALYSON DEMARQUE,manteiga,sopa pronta,manga,molho pesto,azeite,,,,,,,,,,,,,
ALYSON COSTA,açúcar,carne moída,suco,amendoim,iogurte,queijo ralado,cereal,,,,,,,,,,,
MAYCON SOARES,alface,barra de cereal,frutas,cenoura,biscoito,,,,,,,,,,,,,
FILIPE CRUZ,pizza,refrigerante,geleia,manteiga,batata,uva,barra de cereal,,,,,,,,,,,
SÁVIO NÁPOLES,vinho,queijo,presunto,pão,,,,,,,,,,,,,,
GUSTAVO DEMARQUE,castanhas,frango,arroz,feijão,salada,azeite,feijão,tomate,cerveja artesanal,,,,,,,,,
DAVI RODRIGUES,macarrão,torrada,,,,,,,,,,,,,,,,
MAYCON SOARES,nutella,batata,,,,,,,,,,,,,,,,
SERGIO RODRIGUES,chocolate,cenoura,,,,,,,,,,,,,,,,
WEMERSON DEMARQUE,picanha,papel higiênico,,,,,,,,,,,,,,,,
ALYSON MASSI,mostarda,tomate,,,,,,,,,,,,,,,,
OTÁVIO RODRIGUES,bisnaguinha,azeite,whisky,nhoque,granola,frutas,,,,,,,,,,,,
ALYSON NÁPOLES,chá,sopa pronta,,,,,,,,,,,,,,,,
FILIPE SOARES,sal,tomate,óleo de soja,cebola,,,,,,,,,,,,,,
JÚLIO SOARES,kiwi,presunto,cogumelo,,,,,,,,,,,,,,,
JOÃO LIMA,detergente,detergente,,,,,,,,,,,,,,,,
LUIZ DEMARQUE,sabão,milho verde,nhoque,milho verde,farinha de trigo,,,,,,,,,,,,,
DAVI MASSI,detergente,vinho branco,,,,,,,,,,,,,,,,
GABRIEL RODRIGUES,cerveja artesanal,espumante,,,,,,,,,,,,,,,,
MAYCON NETO,presunto,arroz,,,,,,,,,,,,,,,,
GABRIEL DEMARQUE,maionese,catchup,,,,,,,,,,,,,,,,
ALYSON LIMA,alho,feijão,feijão,frutas,,,,,,,,,,,,,,
GUSTAVO NÁPOLES,suco,biscoito,cerveja artesanal,suco de laranja,manteiga,bolo,água de coco,cerveja,picanha,,,,,,,,,
JOÃO SILVA,manteiga,verduras,,,,,,,,,,,,,,,,
VICTOR COSTA,pudim,chocolate,sorvete,leite,pão,manteiga,queijo,presunto,geleia,molho branco,,,,,,,,
DANIEL CRUZ,energético,cogumelo,bolo,frango,,,,,,,,,,,,,,
GABRIEL CRUZ,tomate,verduras,sorvete,presunto,vinagre,sabão,,,,,,,,,,,,
JOÃO SOARES,verduras,água de coco,papel higiênico,pizza,refrigerante,,,,,,,,,,,,,
MAYCON NETO,geleia,castanhas,feijão,peixe,sabão,linguiça,cereal,,,,,,,,,,,
FILIPE CARDOSO,catchup,macarrão,sal,torrada,cerveja artesanal,kiwi,açúcar,kiwi,hambúrguer,batata frita,cerveja,,,,,,,
ALYSON MASSI,chá,cereal,sardinha enlatada,alho,cereal,whisky,ervilha,presunto,cogumelo,,,,,,,,,
SERGIO CARDOSO,ervilha,suco,,,,,,,,,,,,,,,,
GABRIEL SILVA,maionese,alface,pimenta,,,,,,,,,,,,,,,
VANESSA CARDOSO,gelatina,maionese,detergente,cogumelo,geleia,amendoim,,,,,,,,,,,,
GABRIEL SOARES,sopa pronta,barra de cereal,,,,,,,,,,,,,,,,
FILIPE DEMARQUE,palmito,queijo,frango,arroz,salada,café,,,,,,,,,,,,
JOÃO SOARES,suco,amendoim,azeitona,pudim,,,,,,,,,,,,,,
MAYCON NETO,energético,castanhas,,,,,,,,,,,,,,,,
ALYSON MASSI,lasanha,azeitona,filé de frango,arroz,feijão,salada,,,,,,,,,,,,
WEMERSON NETO,maionese,vinho tinto,queijo,presunto,pão,salada,alface,cenoura,,,,,,,,,,
DAVI BANDEIRA,peito de peru,maionese,,,,,,,,,,,,,,,,
SÁVIO COSTA,desinfetante,óleo de soja,cogumelo,abacaxi,banana,massa de pizza,palmito,nhoque,água tônica,uva,,,,,,,,
GUSTAVO LIMA,milho verde,molho pesto,nhoque,banana,óleo de soja,,,,,,,,,,,,,
DANIEL SOARES,molho de tomate,geleia,hambúrguer,cerveja,,,,,,,,,,,,,,
MAYCON SOARES,peito de peru,lasanha,leite,leite,bisnaguinha,abacaxi,,,,,,,,,,,,
LUIZ LIMA,kiwi,whisky,,,,,,,,,,,,,,,,
MAYCON NETO,nutella,açúcar,vinho,queijo,presunto,pão,picanha,,,,,,,,,,,
JOÃO SILVA,sorvete,filé de frango,arroz,feijão,salada,,,,,,,,,,,,,
SÁVIO CARDOSO,sardinha enlatada,bisnaguinha,frutas,,,,,,,,,,,,,,,
VICTOR BANDEIRA,tempero pronto,sopa pronta,abacaxi,frango,feijão,frutas,,,,,,,,,,,,
SERGIO NÁPOLES,frango,arroz,feijão,salada,chocolate,leite,,,,,,,,,,,,
DANIEL SOARES,azeite,papel higiênico,,,,,,,,,,,,,,,,
MAYCON DEMARQUE,catchup,queijo,vinho tinto,presunto,amendoim,,,,,,,,,,,,,
VANESSA NETO,cebola,chá,,,,,,,,,,,,,,,,
JÚLIO BANDEIRA,azeitona,café,açúcar,bolo,patê,achocolatado,sardinha enlatada,alface,biscoito,energético,vodka,,,,,,,
OTÁVIO COSTA,castanhas,refrigerante,uva,mel,,,,,,,,,,,,,,
PEDRO CARDOSO,castanhas,tomate,água tônica,,,,,,,,,,,,,,,
SÁVIO OLIVEIRA,batata frita,presunto,,,,,,,,,,,,,,,,
SERGIO CRUZ,macarrão,lasanha,tempero pronto,,,,,,,,,,,,,,,
MAYCON CRUZ,gelatina,granola,suco de laranja,pão,,,,,,,,,,,,,,
FILIPE SOARES,chá,catchup,espumante,peixe,manga,,,,,,,,,,,,,
VANESSA COSTA,vodka,laranja,,,,,,,,,,,,,,,,
WEMERSON BANDEIRA,refrigerante,carne moída,sal,,,,,,,,,,,,,,,
GABRIEL NÁPOLES,nhoque,picanha,verduras,geleia,água tônica,farinha de mandioca,macarrão,,,,,,,,,,,
VANESSA COSTA,maionese,leite,queijo,suco,pudim,tempero pronto,,,,,,,,,,,,
SERGIO SILVA,vinho branco,presunto,pão,torrada,massa de pizza,,,,,,,,,,,,,
WEMERSON RODRIGUES,salada,alface,tomate,cenoura,azeite,pudim,peito de peru,,,,,,,,,,,
FILIPE DEMARQUE,energético,azeite,ervilha,,,,,,,,,,,,,,,
PEDRO CRUZ,refrigerante,whisky,,,,,,,,,,,,,,,,
ALYSON SOARES,farinha de trigo,pão,manteiga,,,,,,,,,,,,,,,
PEDRO SILVA,achocolatado,bolo,cereal,verduras,cenoura,água tônica,peito de peru,,,,,,,,,,,
DANIEL MASSI,energético,maçã,morango,azeitona,manga,cerveja,carvão,salsicha,,,,,,,,,,
PEDRO DEMARQUE,salada,alface,tomate,peixe,abacaxi,,,,,,,,,,,,,
PEDRO DEMARQUE,milho verde,suco de laranja,,,,,,,,,,,,,,,,
OTÁVIO RODRIGUES,pepino,carvão,cerveja,salsicha,,,,,,,,,,,,,,
GABRIEL CARDOSO,iogurte,granola,cebola,chocolate,sorvete,leite,iogurte,carne moída,,,,,,,,,,
MAYCON CRUZ,sardinha enlatada,molho pesto,geleia,água tônica,vinho,queijo,pão,,,,,,,,,,,
GUSTAVO CRUZ,azeitona,espumante,,,,,,,,,,,,,,,,
ALYSON MASSI,milho verde,morango,ervilha,molho de tomate,suco,,,,,,,,,,,,,
LUIZ SOARES,suco,suco,pão,manteiga,,,,,,,,,,,,,,
OTÁVIO NÁPOLES,granola,abacaxi,bolo,,,,,,,,,,,,,,,
VICTOR OLIVEIRA,vinho tinto,presunto,,,,,,,,,,,,,,,,
PEDRO NETO,vinho branco,queijo,,,,,,,,,,,,,,,,
WEMERSON CRUZ,patê,vinho branco,queijo,presunto,pão,bisnaguinha,maçã,kiwi,molho pesto,,,,,,,,,
ALYSON SANTOS,mostarda,laranja,mostarda,abacaxi,,,,,,,,,,,,,,
FILIPE BANDEIRA,palmito,suco,banana,macarrão,mostarda,,,,,,,,,,,,,
JOÃO BANDEIRA,milho verde,energético,refrigerante,mel,,,,,,,,,,,,,,
DAVI CARDOSO,molho de tomate,vinagre,granola,milho verde,filé de frango,arroz,,,,,,,,,,,,
OTÁVIO CRUZ,cerveja artesanal,cereal,papel higiênico,tempero pronto,hambúrguer,batata frita,cerveja,,,,,,,,,,,
GABRIEL DEMARQUE,farinha de mandioca,cebola,mostarda,banana,cereal,barra de cereal,,,,,,,,,,,,
DAVI BANDEIRA,amendoim,maçã,sorvete,molho pesto,lasanha,geleia,chocolate,papel higiênico,cogumelo,,,,,,,,,
SERGIO SILVA,morango,suco,farinha de mandioca,farinha de trigo,catchup,espumante,,,,,,,,,,,,
GABRIEL SANTOS,água tônica,sardinha enlatada,suco,pimenta,batata frita,catchup,sal,alface,bolo,mostarda,,,,,,,,
VANESSA SOARES,laranja,uva,vodka,limão,maionese,macarrão,frutas,limão,pão,manteiga,,,,,,,,
OTÁVIO MASSI,abacaxi,picanha,massa de pizza,laranja,pizza,,,,,,,,,,,,,
DANIEL OLIVEIRA,iogurte,cenoura,,,,,,,,,,,,,,,,
SERGIO RODRIGUES,linguiça,cerveja artesanal,,,,,,,,,,,,,,,,
GUSTAVO DEMARQUE,massa de pizza,farinha de trigo,,,,,,,,,,,,,,,,
FILIPE MASSI,achocolatado,vinagre,batata,pizza,sorvete,,,,,,,,,,,,,
OTÁVIO SILVA,farinha de mandioca,chocolate,,,,,,,,,,,,,,,,
FILIPE MASSI,iogurte,sorvete,laranja,sopa pronta,,,,,,,,,,,,,,
DANIEL NETO,presunto,linguiça,refrigerante,sorvete,filé de frango,arroz,feijão,salada,azeite,,,,,,,,,
ALYSON SANTOS,salada,alface,tomate,cenoura,vodka,picanha,energético,,,,,,,,,,,
GUSTAVO CARDOSO,chá,iogurte,mostarda,chocolate,,,,,,,,,,,,,,
SERGIO SILVA,limão,manga,castanhas,abacaxi,,,,,,,,,,,,,,
JÚLIO NÁPOLES,limão,queijo ralado,,,,,,,,,,,,,,,,
VICTOR RODRIGUES,maçã,biscoito,carvão,cerveja,vodka,pão,,,,,,,,,,,,
GUSTAVO SILVA,farinha de trigo,açúcar,carvão,cerveja,salsicha,,,,,,,,,,,,,
JÚLIO SOARES,suco,macarrão,,,,,,,,,,,,,,,,
GABRIEL BANDEIRA,hambúrguer,batata frita,cerveja,mostarda,ervilha,,,,,,,,,,,,,
DANIEL OLIVEIRA,chá,filé de frango,feijão,salada,detergente,,,,,,,,,,,,,
WEMERSON MASSI,carvão,picanha,cerveja,vodka,,,,,,,,,,,,,,
WEMERSON BANDEIRA,achocolatado,manga,,,,,,,,,,,,,,,,
SERGIO LIMA,bisnaguinha,carne moída,hambúrguer,batata frita,,,,,,,,,,,,,,
GUSTAVO NETO,picanha,chá,frutas,,,,,,,,,,,,,,,
WEMERSON CRUZ,ervilha,sorvete,,,,,,,,,,,,,,,,
GABRIEL RODRIGUES,nhoque,queijo ralado,feijão,suco de laranja,pão,manteiga,bolo,cereal,alho,,,,,,,,,
FILIPE NÁPOLES,refrigerante,mel,castanhas,geleia,farinha de trigo,atum enlatado,vinagre,peixe,vinho,queijo,,,,,,,,
PEDRO NETO,massa de pizza,pão,manteiga,queijo,,,,,,,,,,,,,,
FILIPE SILVA,farinha de mandioca,barra de cereal,ervilha,vinagre,açúcar,batata,,,,,,,,,,,,
GABRIEL SOARES,frango,arroz,,,,,,,,,,,,,,,,
SERGIO OLIVEIRA,massa de pizza,molho branco,,,,,,,,,,,,,,,,
WEMERSON COSTA,molho pesto,energético,achocolatado,pudim,,,,,,,,,,,,,,
MAYCON COSTA,pão,queijo,,,,,,,,,,,,,,,,
GABRIEL DEMARQUE,milho verde,banana,torrada,maionese,achocolatado,torrada,vodka,pão,manteiga,queijo,presunto,,,,,,,
OTÁVIO SOARES,alho,farinha de mandioca,macarrão,pudim,suco,farinha de trigo,molho branco,,,,,,,,,,,
FILIPE MASSI,manteiga,banana,patê,whisky,massa de pizza,,,,,,,,,,,,,
JOÃO NÁPOLES,granola,refrigerante,,,,,,,,,,,,,,,,
WEMERSON SANTOS,açúcar,gelatina,,,,,,,,,,,,,,,,
LUIZ DEMARQUE,bisnaguinha,arroz,feijão,frango,,,,,,,,,,,,,,
GABRIEL SOARES,granola,molho pesto,açúcar,cereal,,,,,,,,,,,,,,
